SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Meteorológica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
17M/01G,CASTELO DE VIDE,552,39.411546,-7.452479,258617.613,271718.389,552,TEJO,PORTALEGRE,CASTELO DE VIDE,SÃO JOÃO BAPTISTA,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOGRÁFICA,01-11-1931,-,31-01-2001,-,SIM,ATIVA,14,
13M/03G,CASTELO NOVO,617,40.081,-7.498,254166.93,345971.24,617,TEJO,CASTELO BRANCO,FUNDÃO,CASTELO NOVO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,01-01-1985,-,19-02-1999,-,SIM,ATIVA,-,
08J/06G,CASTRO DAIRE (LAMELAS),697,40.924,-7.94,216242,439482,697,DOURO,VISEU,CASTRO DAIRE,CASTRO DAIRE,Autoridade Nacional da Água,-,UDOGRÁFICA,-,-,-,27-02-2002,-,SIM,ATIVA,-,
27I/01G,CASTRO VERDE,217,37.697626,-8.093276,203509.819,81240.135,217,GUADIANA,BEJA,CASTRO VERDE,CASTRO VERDE,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOGRÁFICA,01-09-1931,-,10-01-2001,-,SIM,ATIVA,14,
30J/02G,CATRAIA,475,37.310162,-7.838413,226121,38276,475,GUADIANA,FARO,TAVIRA,CACHOPO,Autoridade Nacional da Água,CCDR-ALGARVE,UDOGRÁFICA,UDOGRÁFICA,01-09-1931,30-04-1974,02-02-2001,-,SIM,ATIVA,-,
16C/01C,CELA,2,39.573,-9.068,119669,289808,2,RIBEIRAS DO OESTE,LEIRIA,NAZARÉ,FAMALICÃO,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1937,-,29-11-2001,-,SIM,ATIVA,15,
17G/02G,CHAMUSCA,18,39.361,-8.487,169523,265977,18,TEJO,SANTARÉM,CHAMUSCA,CHAMUSCA,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOGRÁFICA,07-11-1931,-,22-05-2001,-,SIM,ATIVA,15,
12L/03G,COVILHÃ,719,40.284891,-7.510283,252965.162,368653.291,719,TEJO,CASTELO BRANCO,COVILHÃ,COVILHÃ (CONCEIÇÃO),Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,01-10-1939,-,02-06-1998,-,SIM,ATIVA,14,
02R/02G,DEILÃO,892,41.847,-6.586,328502.949,543060.736,892,DOURO,BRAGANÇA,BRAGANÇA,DEILÃO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,01-01-1932,-,25-02-2003,-,SIM,ATIVA,15,
08P/02G,ESCALHÃO,615,40.948,-6.924,301773.849,442771.962,615,DOURO,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCALHÃO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,01-10-1936,-,09-10-2001,-,SIM,ATIVA,15,
11F/02UG,ESTRADA,45,40.464597,-8.641692,156866.382,388547.826,45,VOUGA/RIBEIRAS COSTEIRAS,AVEIRO,VAGOS,SANTA CATARINA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,09-07-1980,-,30-10-2001,-,SIM,ATIVA,-,
02G/03G,EXTREMO,419,41.963,-8.468,172230.313,554852.95,419,MINHO,VIANA DO CASTELO,ARCOS DE VALDEVEZ,EXTREMO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,01-10-1960,-,01-06-2003,-,SIM,ATIVA,13,
06N/01C,FOLGARES,739,41.303242,-7.282811,271214.346,481904.61,739,DOURO,BRAGANÇA,VILA FLOR,FREIXIEL,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1945,-,13-06-2003,-,SIM,ATIVA,15,
06N/03UG,FONTE LONGA,800,41.232,-7.268,272526.073,474018.953,800,DOURO,BRAGANÇA,CARRAZEDA DE ANSIÃES,FONTE LONGA,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,01-10-1932,-,16-04-2003,-,SIM,ATIVA,12,
24F/01C,GRÂNDOLA,95,38.171168,-8.55914,162665,133887,95,SADO,SETÚBAL,GRÂNDOLA,GRÂNDOLA,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,09-11-1931,-,13-01-2001,-,SIM,ATIVA,14,
26M/01C,HERDADE DE VALADA,223,37.948079,-7.432439,261583,109269,223,GUADIANA,BEJA,SERPA,ALDEIA NOVA DE SÃO BENTO,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1968,-,10-01-2001,-,SIM,ATIVA,-,
14O/01UG,IDANHA-A-VELHA,268,39.997,-7.147,284241.781,337009.559,268,TEJO,CASTELO BRANCO,IDANHA-A-NOVA,IDANHA-A-VELHA,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-09-1910,-,10-10-2001,-,SIM,ATIVA,12,
14N/02UG,LADOEIRO,215,39.826892,-7.26603,274231,317972,215,TEJO,CASTELO BRANCO,IDANHA-A-NOVA,LADOEIRO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-11-1931,-,11-10-2001,-,SIM,ATIVA,15,
04K/03UG,LIXA DO ALVÃO,939,41.5,-7.69,236973.741,503523.679,939,DOURO,VILA REAL,VILA POUCA DE AGUIAR,SOUTELO DE AGUIAR,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,01-04-1946,-,21-04-2003,-,SIM,ATIVA,12,
19G/01UG,MACHOQUEIRA DO GROU,133,39.116,-8.352,181073,238706,133,TEJO,SANTARÉM,CHAMUSCA,PARREIRA,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,01-10-1954,-,23-02-2001,-,SIM,ATIVA,15,
21A/12G,MALVEIRA DA SERRA,334,38.762,-9.437,86659,200162,334,RIBEIRAS DO OESTE,LISBOA,CASCAIS,ALCABIDECHE,Autoridade Nacional da Água,-,UDOGRÁFICA,-,-,-,09-10-2004,-,SIM,ATIVA,-,
30K/01UG,MERCADOR,392,37.278,-7.739,234917,34695,392,GUADIANA,FARO,TAVIRA,CACHOPO,Autoridade Nacional da Água,CCDR-ALGARVE,UDOGRÁFICA,UDOMÉTRICA,01-10-1959,-,15-03-2001,-,SIM,ATIVA,13,
22F/03C,MOINHOLA,41,38.584088,-8.616445,157884,179748,41,SADO,ÉVORA,VENDAS NOVAS,LANDEIRA,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,20-06-1935,-,31-01-2001,-,SIM,ATIVA,15,
30F/01C,MONCHIQUE,792,37.322777,-8.594556,159096,39736,792,ARADE,FARO,MONCHIQUE,MONCHIQUE,Autoridade Nacional da Água,CCDR-ALGARVE,CLIMATOLÓGICA,CLIMATOLÓGICA,04-02-1932,-,31-01-2001,-,SIM,ATIVA,15,
19M/01UG,MONFORTE,259,39.055,-7.442,259865,232101,259,TEJO,PORTALEGRE,MONFORTE,MONFORTE,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,01-01-1911,-,05-01-2001,-,SIM,ATIVA,15,
