SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Meteorológica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
22B/01C,MONTE DA CAPARICA,96,38.660921,-9.202774,106897,188713,96,TEJO,SETÚBAL,ALMADA,CAPARICA,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-05-1985,18-07-1994,01-04-2001,-,SIM,ATIVA,-,
11J/02C,OLIVEIRA DO HOSPITAL,468,40.36,-7.866,222656.289,376798.475,468,MONDEGO,COIMBRA,OLIVEIRA DO HOSPITAL,OLIVEIRA DO HOSPITAL,Autoridade Nacional da Água,CCDR-CENTRO,CLIMATOLÓGICA,CLIMATOLÓGICA,01-09-1931,-,25-01-2002,-,SIM,ATIVA,11,
03G/02C,PONTE DA BARCA,39,41.803,-8.42,176201.226,537097.421,39,LIMA,VIANA DO CASTELO,PONTE DA BARCA,OLEIROS,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-01-1932,-,23-01-2003,-,SIM,ATIVA,15,
04N/01C,RIO TORTO,322,41.537968,-7.280597,271143.512,507976.134,322,DOURO,VILA REAL,VALPAÇOS,RIO TORTO,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-09-1913,-,19-05-2003,-,SIM,ATIVA,15,
31J/01C,SÃO BRÁS DE ALPORTEL,334,37.162693,-7.896526,221010,21895,334,RIBEIRAS DO ALGARVE,FARO,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,Autoridade Nacional da Água,CCDR-ALGARVE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1900,-,13-12-2000,-,SIM,ATIVA,14,
20C/01C,SÃO JULIÃO DO TOJAL,6,38.843,-9.123,114090,208796,6,TEJO,LISBOA,LOURES,SÃO JULIÃO DO TOJAL,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1937,-,05-05-1998,-,SIM,ATIVA,15,
24I/01C,VIANA DO ALENTEJO,314,38.328469,-8.006624,211057.66,151268.859,314,SADO,ÉVORA,VIANA DO ALENTEJO,VIANA DO ALENTEJO,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,01-12-1933,-,04-01-2001,-,SIM,ATIVA,15,

*Qualidade da série Anual Pontuação. 5 a 8: má qualidade da série anual, 9 a 12: qualidade média ou razoável da serie anual e >12 serie anual com grande fiabilidade

Dados obtidos através do site http://snirh.apambiente.pt em 09/10/2017 13:57
