PKNAME,HEIGHTM,HIMAL,REGION,LON,LAT
Dhechyan Khang,6019,Damodar,Mustang/NC,84.2519455,29.03583336
Dingjung North,6249,Gaurishankar,Solukhumbu/NC,86.51694489,27.98777771
Dingjung Ri,6196,Mahalangur,Solukhumbu\NC,86.52278137,27.97444534
Dogari,6536,Dhaulagiri,Rukum\Dolpa,83.10028076,28.76666641
Dolma Khang,6332,Rolwaling,Dolakha/NC,86.35028076,27.93722153
Dome Kang,7264,Kanchanjunga,Taplejung\NI,88.15000153,27.87666702
Domo,7462,Janak,Taplejung\NC,88.13805389,27.88111115
Dorje Lhakpa,6966,Jugal,Rasuwa\ Sindhupalchowk,85.78111267,28.17388916
Dragmorpa Ri,6185,Langtang,Rasuwa,85.66416931,28.32527733
Drangnag Ri,6757,Rolwaling,"Dolakha\Solukhumbu",86.52639008,27.94694519
Drohmo,6881,Kanchenjunga,Taplejung,88.10500336,27.82388878
Dudh Kundali,6045,Kanjiroba,Jumla/Dolpa,82.54555511,29.2238884
Dwijen Himal,6169,Sringi,Gorkha/NC,84.90333557,28.5933342
Dzanye,6710,NA,NA,88.03083333,27.90555556
Dzanye II,6318,Kanchenjunga,Taplejung/NC,88.04111481,27.90222168
Dzasampatse,6295,NA,NA,86.609624,28.046807
Ek Rate Danda,6213,Makalu,Solukhumbu\ Shankhuwasava,87.00499725,27.70888901
Everest,8848,Khumbu,Solukhumbu\NC,86.92805481,27.98805618
Fang,7647,Annapurna,Myagdi\Kaski,83.8033371,28.57805634
Firnkopf,6730,Saipal,Humla\Bajhang,81.45722198,29.90138817
Firnkopf West,6745,Saipal,Bajhang,81.44694519,29.89805603
Futi Himal,6425,NA,NA,-9999,-9999
Gama Peak,7187,NA,NA,-9999,-9999
Ganchenpo,6378,Jugal,Rasuwa,85.6811142,28.16888809
Gandharva Chuli,6248,Annapurna,Kaski,83.96221924,28.53833389
Ganesh I,7422,Ganesh,Gorkha\NC,85.12889099,28.39166641
Ganesh II,7118,Ganesh,Gorkha,85.05916595,28.37888908
Ganesh III,7043,Ganesh,Dhading\NC,85.12472534,28.33527756
Ganesh IV,7104,Ganesh,Gorkha\Dhading,85.08222198,28.34555626
Ganesh V,6770,Ganesh,"Dhading\Rasuwa\NC",85.16083527,28.33194351
Ganesh VI,6908,Ganesh,Gorkha,85.06388855,28.37111092
Ganesh VII,6350,Ganesh,Gorkha,-9999,-9999
Gangapurna,7455,Annapurna,Kaski\Manang,83.96583557,28.60527802
Gangapurna West,7140,Annapurna,Manang/Kaski,83.9438858,28.60111046
Gaugiri,6110,Damodar,Mustang\NC,84.19000244,29.04527855
Gaurishankar,7135,Rolwaling,Dolakha\NC,86.33777618,27.96500015
Gaurishankar South,6983,Rolwaling,Dolakha/NC,86.35028076,27.93722153
Gave Ding,6581,NA,NA,-9999,-9999
Ghenge Liru,6596,Langtang,Rasuwa,85.47389221,28.24805641
Ghhanyala Hies,6744,Kanchenjunga,Taplejung\NC,88.08277893,27.8955555
Ghustang North,6529,Dhaulagiri,Myagdi,83.2472229,28.68055534
Ghustang South,6465,Dhaulagiri,Myagdi,83.24610901,28.67222214
Ghyun Himal I,6099,Damodar,Mustang/NC,83.78194427,29.24416733
Ghyuthumba Main,5806,NA,NA,-9999,-9999
Gimmigela Chuli,7350,Kanchenjunga,Taplejung\NI,88.16110992,27.74055481
Gimmigela Chuli East,7007,Kanchenjunga,Taplejung\NI,-9999,-9999
Glacier Dome,7168,NA,NA,83.8825,28.609444
Gojung,6310,NA,NA,-9999,-9999
Goldum Peak,6620,Langtang,Rasuwa/NC,85.72916412,28.32805634
Gorakh Himal,6198,Gorakh,Humla\NC,82.23305511,30.06500053
Gorakh Khang,6254,Gorakh Himal,Humla/NC,82.33750153,30.04416656
Guras,6744,Guras,Bajhang/NC,81.10888672,30.04305649
Gurja Himal,7193,Dahaulagiri,Myagdi,83.27777863,28.67388916
Gurkarpo Ri,6889,Jugal,Rasuwa\NC,85.77722168,28.20972252
Gyachung Kang,7952,Khumbu,Solukhumbu\NC,86.7508316,28.09444427
Gyajikang,7074,Peri,Manang,84.3741684,28.73305511
Gyala,6363,Gyala,Gorkha,84.5588913,28.75194359
Gyalzen Peak,6151,Jugal,"Sindhupalchok\NC",85.84166718,28.18388939
Herzog Peak,7555,Annapurna,Myagdi/Kaski,83.86027527,28.6091671
Himalchuli East,7893,Mansiri,Lamjung\Gorkha,84.64138794,28.43694496
Himalchuli North,7331,Mansiri,Lamjung\Gorkha,84.60639191,28.44916725
Himalchuli West,7540,Mansiri,Lamjung,84.61888885,28.43555641
Himjung,7092,Peri,Manang,84.41972351,28.73638916
Himlung East,6932,Peri,Manang/NC,84.43888855,28.76916695
Himlung Himal,7126,Peri,Manang,84.42472076,28.77166748
Hiunchuli,6434,Annapurna,Kaski,83.85194397,28.5102787
Hongde,6556,Damodar,Dolpa\Mustang,83.4991684,28.84305573
Hongku,6764,"Mahalangur/Makalu","Solukhumbu\Sankhuwasabha",86.97944641,27.8255558
Hongku Chuli,6833,Mahalangur,Solukhumbu\ Sankhuwasabha,87.01194763,27.81749916
Hulang Go,6687,Peri,Manang/NC,84.34555817,28.87277794
Hungchhi,7029,Mahalangur,Solukhumbu\NC,86.7611084,28.03472137
Hunku,6119,NA,NA,-9999,-9999
Imjatse,6165,Khumbu,Solukhumbu,86.93777466,27.92055511
Jabou Ri,6166,Rolwaling,Dolakha,86.51527405,27.85388947
Jagdula,5761,Jagdula,Dolpa\Jumla,82.59194183,29.32694435
Janak Chuli,7041,Kanchenjunga,Taplejung\NC,88.09333038,27.87166595
Jannu,7711,Kanchenjunga,Taplejung,88.04638672,27.68222237
Jannu East,7460,Kanchenjunga,Taplejung,-9999,-9999
Jarkya,6473,Peri,Gorkha/NC,84.52694702,28.74194527
Jasemba Goth,6734,Mahalangur,Solukhumbu/NC,86.60500336,28.08722305
Jethi Bahurani,6850,Gurans,Darchula\Bajang,81.04250336,29.88166618
Jinjang,6111,Damodar,Manang,84.03472137,28.78416634
Jobo Rinjang,6781,Mahalangur,Solukhumbu\NC,86.5652771,28.06611061
Jomsom Himal,6335,Damodar,Manang,84.15583038,28.84083366
Jongsang,7462,NA,NA,-9999,-9999
Junction Peak,7133,NA,NA,-9999,-9999
Jyachhung,6388,Byas Risi,Darchula/NC,81.08583069,30.10638809
Kabru Dome,6600,Kanchenjunga,Taplejung/NI,-9999,-9999
Kabru Main,7412,Kanchenjunga,Taplejung/NI,88.1213913,27.6352787
Kabru North,7412,Kanchenjunga,Taplejung/NI,88.118535,27.635011
Kabru South,7318,Kanchanjunga,Taplejung\NI,88.11360931,27.60805511
Kagmara I,5978,Kanjiroba,Dolpa,82.76139069,29.13777733
Kaipuchonam,6329,Palchung,Mugu/NC,82.78333282,29.72555542
Kali Himal,6985,Khumbu Himal,Solukhumbu\ Sankhuwasabha,86.97555542,27.87722206
Kalo Parbat,5387,Mukut Himal,Dolpa,83.44916534,28.82138824
Kambong Peak,6570,Dhaulagiri,Myagdi,83.30805206,28.65944481
Kande Hiunchuli,6627,Patrasi,"Mugu\Jumla\Dolpa",82.56027985,29.4113884
Kande Hiunchuli North  I,6521,NA,NA,-9999,-9999
Kande Hiunchuli North  II,6471,NA,NA,-9999,-9999
Kang Guru,6981,Peri,Manang,84.3041687,28.6586113
Kang Kuru,6344,NA,NA,-9999,-9999
Kang Nagchugo,6737,Gaurishankar,Dolakha\NC,86.44472504,27.90611076
Kangbachen,7902,Kanchenjunga,Taplejung,88.11277771,27.7163887
Kangbachen East,7784,Kanchenjunga,Taplejung/NI,88.15805817,27.71750069
Kangchenjunga,8586,Kanchenjunga,Taplejung\NI,88.15000153,27.70277786
Kangchenjunga Central,8473,Kanchenjunga,Taplejung\NI,88.15333557,27.69611168
Kangchenjunga North,7938,Kanchenjunga,Taplejung/NI,88.15444183,27.7108326
Kangchenjunga South,8476,Kanchenjunga,Taplejung\NI,88.15638733,27.6922226
Kangchung Nup,6043,Mahalangur,Solukhumbu,-9999,-9999
Kangchung Shar,6063,Mahalangur,Solukhumbu,86.73972321,27.98361206
Kangtega,6783,Khumbu,Solukhumbu,86.81944275,27.79249954
Kangtokal,6294,Kanjiroba,Dolpa,83.16860962,28.79972267
Kangtsune,6444,NA,NA,-9999,-9999
Kanjeralwa,6612,Kanjiroba,Dolpa,82.87611389,28.2322216
Kanjiroba North,6858,kanjiroba,Mugu/Dolpa,82.64333344,29.38388824
Kanjiroba South,6883,Kanjiroba,Dolpa,82.64055634,29.37555504
Kanta Gaton,5910,Kanjirowa,Dolpa,82.99583435,29.10333252
Kanti Himal,6850,Kanti Himal,Mugu\NC,82.7536087,29.76638794
Kanti Himal East,6516,Kanti,Mugu/NC,82.70222473,29.85305595
Kaptang,5965,Kanti Himal,Mugu\NC,82.5736084,29.92694473
Karko,6015,Saipal,Bajhang,81.21916962,29.92027855
Karsang Kang,6476,NA,NA,84.93333333,28.93333333
Karyolung,6530,Rolwalling,Solukhumbu,86.61416626,27.73333359
Kasi Dalpha,6386,Kanjiroba,Jumla/Dolpa,82.55472565,29.28305626
"Kesang Khang /UAAA Peak",6476,NA,NA,-9999,-9999
Khamjung,6759,Damodar,Mustang\Manang,84.12916565,28.88888931
Khangri Shar,6792,Mahalangur,Solukhumbu\NC,86.8152771,28.01888847
Khangri West,6621,Mahalangur,Solukhumbu\NC,86.79750061,28.0205555
Khatang,6790,Rolwaling,Solukhumbu,86.59833527,27.75749969
Khatung Khang,6484,Patrung Himal,Mustang\Manang,83.92138672,28.77694511
Khayang,6186,Mansiri,Gorkha\NC,84.71583557,28.63333321
Khiurikala,5806,Saipal,Bajhang,81.27305603,29.96999931
Khongma Tse,5849,Khumbu,Solukhumbu,86.85055542,27.9477787
Khumbutse,6639,Mahalangur,Solukhumbu\NC,86.875,28.0205555
Khung,6024,Palchung,Dolpa/NC,83.14416504,29.62472153
Kimshung,6781,NA,NA,85.55361111,28.27111111
Kirat Chuli,7362,Kangchenjunga,Taplejung\NI,88.19833374,27.78861046
Kogi Khang North,6275,Kanti,Mugu/NC,82.73916626,29.81444359
Kojichuwa Chuli,6439,Kanti Himal,Mugu\NC,82.64360809,29.86555481
Kojichuwa South,6264,Kanti,Mugu/NC,82.63111115,29.84861183
Konabon,6570,NA,NA,-9999,-9999
Korlang Pari Tippa,5738,Rolwaling,Dolakha/NC,86.1911087,28.17333412
Kotang,6148,Kanchanjunga,Taplejung\NI,88.08249664,27.56361198
Kumlung,6355,Damodar,Mustang\Manang,84.18611145,28.90138817
Kusum Kanguru,6360,Khumbu,Solukhumbu,86.79111481,27.73055649
Kwangde,6086,Rolwaling,Solukhumbu,86.63444519,27.80027771
Kyabura,6466,Kanchenjunga,Taplejung\NC,88.02416992,27.89638901
Kyashar,6770,"Mahalangur-Makalu",Solukhumbu,86.82499695,27.75527763
Kyazo Ri,6151,Mahalangur,Solukhumbu,86.67305756,27.90888977
Kyungka Ri 1,6599,Langtang,Rasuwa,85.67055511,28.29638863
Kyungka Ri 2,6506,Langtang,Rasuwa\NC,85.66471863,28.30333328
Lachama Chuli,6721,Changla Himal,Humla\NC,82.20055389,30.13638878
Lachama North,6628,Changla,Humla/NC,82.19999695,30.14333344
Lamjung Himal,6983,Annapurna,Kaski\Manang,84.1911087,28.48916626
Lampo,6648,NA,NA,85.55361111,28.27111111
Langchung Khang,6786,Kanchanjunga,Taplejung\NI,88.18138885,27.85611153
Langdak,6220,Rolwaling,Solukhumbu,86.56361389,27.9169445
Langdung,6326,Rolwaling,Dolakha/NC,86.48416901,27.9477787
Langju,6426,Puchen,Gorkha,85.05527496,28.54583359
Langmoche Ri,6617,Mahalangur,"Dolakha\Solukhumbu",86.55500031,27.86722183
Langpo,6965,Kanchanjunga,Taplejung\NI,88.19889069,27.85333252
Langsisa Ri,6412,Jugal,Rasuwa,85.71639252,28.21694374
Langtang Lirung,7227,Langtang,Rasuwa,85.51944733,28.25611115
Langtang Ri,7205,Langtang,Rasuwa\NC,85.68638611,28.38222313
Langtang Yubra,6048,Langtang Himal,Rasuwa,85.56777954,28.27444458
Lapuchun,5960,Tanje,Gorkha/NC,84.85916901,28.57055473
Larkya Peak,6416,Manaslu,Manang\Gorkha,84.54499817,28.62694359
Lasa,6189,Byas Risi,Darchula/NC,81.08416748,30.13583374
Lashar I,6842,Kanchenjunga,Taplejung\NC,88.05666351,27.89611053
Lashar II,6803,Kanchenjunga,Taplejung\NC,88.06694794,27.88611031
Leonpo Gang,6979,Jugal,"Rasuwa\Sindhupalchowk\NC",85.80194092,28.19555473
Leonpo Gang East,6733,Jugal,"Sindhupalchok/NC",85.81777954,28.20249939
Lha Shamma,6412,Kanjirowa,Dolpa,82.7472229,29.22583389
Lhayul Peak,6395,Api Himal,Darchula,80.86888885,29.97611046
Lhonak,6070,Kanchenjunga,Taplejung,88.05722046,27.83194351
Lhotse,8516,Khumbu,Solukhumbu\NC,86.9366684,27.96194458
Lhotse Middle,8410,Mahalangur,Solukhumbu\NC,86.94083405,27.96111107
Lhotse Shar,8382,Khumbu,Solukhumbu\NC,86.94555664,27.95833397
Lingtren,6713,Mahalangur,Solukhumbu\NC,86.85722351,28.02750015
Linkhu Chuli Nup,6659,Mahalangur,Dolkha\ Ramechhap,86.52610779,27.80500031
Linkhu Chuli Shar,6719,Mahalangur,Solukhumbu\Ra mechhap\ Dolakha,86.54472351,27.81111145
Lobuje East,6090,Khumbu,Solukhumbu,86.79305267,27.95833397
Lobuje West,6135,Khumbu,Solukhumbu,86.78472137,27.96888924
Lugula,6899,Lugula,Manang/NC,84.26166534,28.89611053
"Lumba Sumba Peak",5740,Kanchenjunga,"Sankhuwasabha\Taplejung",87.64194489,27.70999908
Lunag II,6812,Mahalangur,Solukhumbu/NC,-9999,-9999
Lunag Ri,6900,Mahalangur,Solukhumbu/NC,86.55110931,28.05055618
Lunag West,6492,Mahalangur,Solukhumbu/NC,-9999,-9999
Lunchhung Kamo East,6024,NA,NA,-9999,-9999
Lungchhung,6043,Palchung,Dolpa/NC,83.1222229,29.62833405
Lungsampa,6500,Mahalangur,Solukhumbu,86.66139221,28.05277824
Luza Peak,5710,Mahalangur,Solukhumbu,86.6966629,27.88777733
Machermo,5559,Mahalangur,Solukhumbu,86.69555664,27.89583397
Machhapuchhare,6993,NA,NA,83.94583333,28.4975
Makalu,8485,Mahalangur,"Sankhuwasabha\NC",87.09083557,27.88916588
Makalu II,7678,Mahalangur,Sankhuwasabha\ NC,87.08055878,27.91555595
Malanphulan,6573,Mahalangur,Solukhumbu,86.8722229,27.80277824
Manapathi,6380,Dhaulagiri,Myagdi,83.45888519,28.6455555
Manapathi NW,6384,Dhaulagiri,Myagdi,-9999,-9999
Manaslu,8163,Mansiri,Manang\Gorkha,84.5616684,28.55027771
Manaslu North,6994,Mansiri,Manang\Gorkha,84.55055237,28.57777786
Mansail,6242,Damodar,Mustang/NC,83.30194473,29.30194473
Mansail South,6251,Damodar,Mustang/NC,83.81027985,29.29444504
Mardi Himal,5553,Annapurna,Kaski,83.93083191,28.47305489
Mariyang,6528,Kanjiroba,Dolpa\NC,82.8888855,29.69333267
Mariyang West,6455,Palchung,Dolpa/NC,82.87555695,29.68944359
Matathumba,5767,NA,NA,-9999,-9999
Mayonthang Kang,6449,Kanti,Mugu/NC,82.74666595,29.76972198
Mera Peak,6470,Khumbu,Solukhumbu,86.87055206,27.70861053
Mera South,6064,Mahalangur,Solukhumbu,86.89499664,27.70111084
Merra,6334,Kanchenjunga,Taplejung,88.01972198,27.74083328
Mingbo Ri,6207,NA,NA,-9999,-9999
Mojca,6024,Kanchenjunga,Taplejung,88.05055237,27.7705555
Mukut Himal,6087,Dhaulagiri,Dolpa/Mustang,83.48222351,28.81694412
Mustang Himal,6195,Damodar,Mustang/NC,83.80999756,29.28611183
Mustang Peak,6229,NA,NA,-9999,-9999
Myagdi Matha,6273,NA,NA,-9999,-9999
Nagoru,6165,NA,NA,-9999,-9999
Nalakankar North,6062,Nalakankar,Humla\NC,81.40139008,30.35750008
Nalakankar South,6024,Nalakankar,Nalakankar,-9999,-9999
Nampa,6729,Gurans,Darchula,80.99694824,30.00416756
Nampa II,6585,Gurans,Darchula,80.95972443,30.01277733
Nampa III,6611,Gurans,Darchula/ Bajhang,81.01694489,29.98083305
Nampa South,6180,Byas-Rikhi,Darchula,80.99666595,29.98583412
Nangamari I,6547,Kanchanjunga,Taplejung\NC,87.8686142,27.91055489
Nangamari II,6209,Kanchanjunga,Taplejung,87.86722565,27.89138794
Nangpai Gosum I,7350,Mahalangur,Solukhumbu\NC,86.63777924,28.07055473
Nangpai Gosum II,7307,Mahalangur,Solukhumbu\NC,86.65249634,28.07472229
Narphu,5921,Damodar,Manang,84.12388611,28.71694374
Naulekh,6340,Mahalangur,Solukhumbu,86.90472412,27.68694496
Naya Kanga,5863,Langtang,Rasuwa\ Sindhupalchowk,85.5513916,28.16833305
Nemjung,7140,Manang,Manang,84.41805267,28.75694466
Nepal Gap Peak,7007,Kanchenjunga,Taplejung/NI,88.18083191,27.74638939
Nepal Peak,7177,Kanchenjunga,Taplejung\NI,88.18527985,27.77638817
Ngojumba Kang I,7916,Mahalangur,Solukhumbu/NC,86.68694305,28.10583305
Ngojumba Kang II,7743,Khumbu,Solukhumbu\NC,86.70861053,28.10638809
Ngojumba Kang III,7681,Mahalangur,Solukhumbu/NC,86.71611023,28.10666656
"Nheserku (Chhukpu)",5897,Mahalangur,Solukhumbu,86.60305786,27.91888809
Nilgiri Central,6940,Nilgiri,Myagdi/Mustang,83.70861053,28.67833328
Nilgiri East,6698,Nilgiri,Myagdi/Mustang,-9999,-9999
Nilgiri North,7061,Nilgiri,Myagdi/Mustang,83.7463913,28.69000053
Nilgiri South,6839,Nilgiri,Myagdi/Mustang,83.73222351,28.65472221
Nirekha,6159,Mahalangur,Solukhumbu,86.76527405,27.97750092
Norbu Kang,6085,Kanjirowa,Dolpa,83.07472229,29.11916733
Numbur,6958,Rolwaling,"Remechhap\Solukhumbu",86.57499695,27.75444412
Numri,6635,Mahalangur,Solukhumbu\ Sankhuwasabha,86.97583008,27.89527702
Nup La Kang,6861,Mahalangur,Solukhumbu/NC,86.76694489,28.07416725
Nupche Kang,6592,Mahalangur,Solukhumbu/NC,86.60500336,28.10138893
Nupchu,6172,Kanchenjunga,Taplejung,87.92028046,27.8152771
Nuptse,7864,Khumbu,Solukhumbu,86.88944244,27.96694374
Nuptse East I,7795,Khumbu,Solukhumbu,-9999,-9999
Nuptse West II,7732,Khumbu,Solukhumbu,-9999,-9999
Ohmi Kangri,6839,Janak,Taplejung\NC,87.96666718,27.89722252
Ombak Himal,6300,NA,NA,-9999,-9999
Ombigaichen,6340,Mahalangur,Solukhumbu,86.88583374,27.85250092
Omitso Go,6332,Rolwaling,Dolakha/NC,86.45805359,27.91527748
Pabuk Kang,6244,Kanchanjunga,Taplejung\NC,87.89055634,27.90999985
Paldor,5903,Ganesh,Dhading\Rasuwa,85.18416595,28.27777863
Palung Ri,7022,NA,NA,86.64333333,28.12916667
Palung Ri,7012,NA,NA,86.64388889,28.12972222
Pama Himal,6300,Peri,Gorkha/NC,84.95111084,28.5802784
Panalotapa,6687,Mahalangur,Ramechhap\ Solukhumbu,86.56972504,27.80416679
Panbari,6887,Peri,Manang\Gorkha,84.48388672,28.7183342
Pandra,6857,Kanchanjunga,Taplejung,87.9952774,27.86444473
Pangbuk North,6478,Mahalangur,Solukhumbu\NC,-9999,-9999
Pangbuk Ri,6625,Mahalangur,Solukhumbu\NC,86.52222443,28.00527763
Pankar Himal,6264,Sringi,Gorkha/NC,84.74250031,28.61638832
Panpoche 1,6620,Mansiri,Gorkha,84.6838913,28.62888908
Panpoche 2,7350,Mahalangur,Solukhumbu\NC,86.61694336,28.07333374
"Panpoche 2 ( Pang Phunch )",6504,Mansiri,Gorkha,84.6875,28.61416626
Parchamo,6279,Rolwaling,Dolakha\ Solukhumbu,86.54944611,27.83666611
Pasang Lhamu Chuli,7350,NA,NA,86.61416667,28.0725
Pashuwo,6177,Tsum,Gorkha\NC,85.16833496,28.53194427
Patrasi Himal,6450,Patrasi,Mugu\Dolpa,82.59249878,29.42111206
Pawar Central,6621,NA,NA,-9999,-9999
Peak 29,7871,Mansiri,Manang/Gorkha,84.56861115,28.50333405
Peak 4,6287,"Mahalangur/Makalu",Sankhuwasabha,87.01333618,27.85277748
Peak 41,6648,Mahalangur,Solukhumbu,86.91139221,27.77388954
Pemthang Karpo Ri,6865,Langtang,Rasuwa/NC,85.75055695,28.24916649
Pemthang Ri,6746,NA,NA,85.73583333,28.29916667
Peri,6174,Langtang,Rasuwa/NC,85.72360992,28.35305595
Peri Himal,6296,Peri,Manang/NC,84.48166656,28.7472229
Pethangtse,6739,Mahalangur,Sankhuwasabha\ NC,87.01833344,27.95750046
Pethangtse East,6572,Mahalangur,"Sankhuwasabha/NC",87.03610992,27.94944382
Pharilapcha,6017,Mahalangur,Solukhumbu,86.68360901,27.92916679
Phole,6645,Kanchenjunga,Taplejung,88.01000214,27.68583298
Phu Kang,6694,Peri Himal,Manang\NC,84.44916534,28.79333305
Phu Kang Go,6767,Peri,"Manang/Gorkha/NC",84.49388885,28.73472214
Phu Kang North,6580,Peri,Manang/NC,84.43777466,28.82083321
Phungi,6524,Peri,Manang/NC,84.40277863,28.82999992
Phungi Himal,6538,Mansiri,Manang,84.48583221,28.55444527
Phurbi Chhyachu,6637,Jugal,"Sindhupalchok\NC",85.87194824,28.13055611
Pimu,6344,NA,NA,-9999,-9999
Pisang,6091,Damodar,Manang,84.1883316,28.64611053
Pointed Peak,5850,NA,NA,-9999,-9999
Pokalde,5780,Khumbu,Solukhumbu,86.83583069,27.9244442
Pokharkang,6372,Damodar,Manang,84.22888947,28.81277847
Pota Himal North,6182,Kakhyor Himal,Dolpa,83.19750214,28.77583313
Pumori,7138,Khumbu,Solukhumbu\NC,86.83055878,28.01499939
